profile,pf_mean,pf_std,wr_mean,wr_std,sigs_per_day_mean,sigs_per_day_std,mdd_mean,mdd_std,n_trades_mean
Aggressive,0.41232227488151657,0.7141631291871674,0.15064935064935064,0.26093232945193473,1.1501645043143585,1.9921433585347421,7.5,12.99038105676658,128.66666666666666
Balanced,0.5882352941176471,1.0188534162169867,0.1801801801801802,0.3120812265889869,0.11024892917002917,0.190956746802553,1.6666666666666667,2.8867513459481287,12.333333333333334
Conservative,0.75,1.299038105676658,0.19999999999999998,0.34641016151377546,0.05959401576758334,0.10321986313651513,1.0,1.7320508075688772,6.666666666666667
