variant,family,total_trees,effective_trees,unique_probs_test,val_quantile_99,cross_symbol_pf_mean,n_pairs_pf_geq_14
v0_baseline_es,lgb,2,2,15,0.4037261938620102,1.4122275590480728,3
v1a_30_noes,lgb,30,30,1569,0.513096626705561,1.3993958164949147,2
v1b_100_noes,lgb,100,100,2273,0.5647617027060042,1.7324174729180208,4
v1c_xgb_30,xgb,30,30,1572,0.4302721619606018,1.5038875148768924,2
