variant,family,n_trees,val_min,val_max,val_mean,val_std,test_min,test_max,test_mean,test_std,test_unique_4dp,val_quantile_99,val_quantile_97,val_quantile_90
v0_baseline_es,lgb,2,0.3834002518213553,0.4069438454124597,0.4007612553010661,0.00289817100846539,0.3834002518213553,0.4069438454124597,0.4008254352807557,0.0029143805133313126,15,0.4037261938620102,0.402624142634683,0.402624142634683
v1a_30_noes,lgb,30,0.3528433921849641,0.554181342844395,0.47417585562726383,0.02333890376628727,0.3481604776326855,0.5629877640567859,0.4748984057977478,0.021003667368561147,1569,0.513096626705561,0.5049462421184189,0.49590266307662
v1b_100_noes,lgb,100,0.33013857772950306,0.6524786932733354,0.4960748281873839,0.03289942971420791,0.3132968476276789,0.6737090154760954,0.49606780928176597,0.031042930008503052,2273,0.5647617027060042,0.5478736109334635,0.5308916427356488
v1c_xgb_30,xgb,30,0.2724725008010864,0.45925790071487427,0.3871338367462158,0.023942014202475548,0.2619687020778656,0.4671286642551422,0.39005112648010254,0.019827796146273613,1572,0.4302721619606018,0.42104631662368774,0.4116818606853485
