n_trades,wins,losses,pf,wr,sigs_per_day_per_symbol,mdd,avg_duration,seed,profile,cluster_value
1619,683,902,1.1358093126385809,0.4309148264984227,9.62079851439183,149.5,5.642989499691168,42,Aggressive,0.4037
150,68,80,1.275,0.4594594594594595,0.8913649025069638,26.5,5.06,42,Balanced,0.4037
150,68,80,1.275,0.4594594594594595,0.8913649025069638,26.5,5.06,42,Conservative,0.4037
3917,1640,2263,1.0870525850640742,0.4201895977453241,23.276508820798515,75.5,4.560122542762318,1,Aggressive,0.4054
645,282,361,1.1717451523545706,0.4385692068429238,3.832869080779944,42.5,4.389147286821705,1,Balanced,0.4054
82,33,49,1.010204081632653,0.4024390243902439,0.4872794800371402,11.0,4.365853658536586,1,Conservative,0.4054
1691,712,950,1.1242105263157895,0.42839951865222625,10.048653667595172,155.5,5.643406268480189,7,Aggressive,0.4
154,74,78,1.4230769230769231,0.4868421052631579,0.9151346332404828,21.0,5.4935064935064934,7,Balanced,0.4
154,74,78,1.4230769230769231,0.4868421052631579,0.9151346332404828,21.0,5.4935064935064934,7,Conservative,0.4
