feature,mean_abs_shap,mean_signed_shap,n_samples
ema_20_dist_atr,0.06183426809294941,0.05963845719377027,1422
rvol_20,0.06067986016889187,0.05002287452289323,1422
hour_sin,0.03679088517820168,0.030736568662426394,1422
dist_to_swing_low_atr,0.03144532330255734,0.023511241784336157,1422
hour_cos,0.009021656947312828,-0.0005256588685061982,1422
ltf_rsi_minus_htf_rsi,0.005423799448745569,0.004323579848168255,1422
dist_to_swing_high_atr,0.0026092903881222984,0.0024289634606773428,1422
volume_z_score,0.0021890425675526386,-0.0007361365460365569,1422
both_high_vol,0.0015398887685085577,0.0012243690532735417,1422
htf_1h_atr_percentile_100,0.001527753281436069,0.00025452113028050623,1422
ema_20_slope_atr,0.0014336943230174423,0.0013031614534407315,1422
atr_percentile_100,0.000979648669423452,0.0005560360124332998,1422
htf_ltf_agree_bull,0.0008079267060935614,-0.00029327092455850396,1422
pullback_in_bear,0.0006488209906234271,0.0006488209906234271,1422
realized_vol_20,0.000353358962529966,0.00020610778724782446,1422
