feature,mean_abs_shap_win,mean_signed_shap_win,mean_abs_shap_loss,mean_signed_shap_loss,abs_delta,signed_delta
rvol_20,0.09832553095428881,0.09002113572376805,0.06067986016889187,0.05002287452289323,0.03764567078539694,0.03999826120087482
ema_20_dist_atr,0.08074287166591752,0.07922530092591402,0.06183426809294941,0.05963845719377027,0.018908603572968113,0.019586843732143755
hour_sin,0.04113917790448147,0.03795713961253268,0.03679088517820168,0.030736568662426394,0.00434829272627979,0.007220570950106284
dist_to_swing_low_atr,0.037244253115463824,0.029487133290596976,0.03144532330255734,0.023511241784336157,0.0057989298129064865,0.0059758915062608185
hour_cos,0.009820784037133821,0.0029418803202356783,0.009021656947312828,-0.0005256588685061982,0.0007991270898209928,0.0034675391887418767
dist_to_swing_high_atr,0.0029657265787016262,0.0028618600983271346,0.0026092903881222984,0.0024289634606773428,0.00035643619057932783,0.0004328966376497918
volume_z_score,0.002447657773822687,-0.0011019271708020742,0.0021890425675526386,-0.0007361365460365569,0.0002586152062700486,-0.0003657906247655174
ltf_rsi_minus_htf_rsi,0.005857391724659069,0.004600091163182791,0.005423799448745569,0.004323579848168255,0.0004335922759134995,0.0002765113150145354
ema_20_slope_atr,0.0012634391498735065,0.0011407037207828658,0.0014336943230174423,0.0013031614534407315,-0.00017025517314393584,-0.00016245773265786577
both_high_vol,0.0013713327604633887,0.0011205303952227298,0.0015398887685085577,0.0012243690532735417,-0.00016855600804516896,-0.00010383865805081195
htf_1h_atr_percentile_100,0.001425626045555588,0.00015347939060966247,0.001527753281436069,0.00025452113028050623,-0.00010212723588048098,-0.00010104173967084376
realized_vol_20,0.0003545582892911365,0.00013569865901657803,0.000353358962529966,0.00020610778724782446,1.1993267611704896e-06,-7.040912823124643e-05
pullback_in_bear,0.0006842484597928896,0.0006842484597928896,0.0006488209906234271,0.0006488209906234271,3.542746916946249e-05,3.542746916946249e-05
atr_percentile_100,0.0009904627267332904,0.0005817326550649961,0.000979648669423452,0.0005560360124332998,1.0814057309838348e-05,2.5696642631696303e-05
htf_ltf_agree_bull,0.0008011595129638493,-0.00030872820100789943,0.0008079267060935614,-0.00029327092455850396,-6.7671931297120635e-06,-1.5457276449395464e-05
